dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise,experiment,min_cluster_size,min_samples,alpha,cluster_selection_method,dbcv_difference,fit_time_difference
varied,0.00679740000123270002307940274022,0.00736260000000000039421799158390,0.79278142692517028500276410341030,0.79278142692517028500276410341030,True,True,2,2,68,68,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,0.00056519999876730037113858884368
aniso,0.00732760000028060028143261916966,3.20650900000000005363176569517236,0.41953560498427849845270998230262,0.74083918361713929634504438581644,False,False,2,2,32,32,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,0.32130357863286079789233440351381,3.19918139999971939957390532072168
blobs,0.00806530000045310030420964153564,0.00679130000000000011439738045738,0.82754439342014673997027784935199,0.82739587156760296959845391029376,False,False,2,2,24,24,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,-0.00014852185254377037182393905823,-0.00127400000045310018981226107826
no_structure,0.00612809999802260002566001162450,0.00862779999999999970550224048793,,,True,True,0,0,500,500,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,,0.00249970000197739967984222886344
heartfailure,0.00890319999962230039514121671118,0.83789829999999998477733242907561,0.61369767205905334517268556737690,0.64116502956859422468482989643235,False,False,2,2,98,98,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,0.02746735750954087951214432905545,0.82899510000037768264746773638763
cardiacarrest,0.00811550000071289967529253317480,0.62113649999999998030375536473002,,,True,True,0,0,422,422,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,,0.61302099999928705287288721592631
neuroblastoma,0.00263450000056759990954557970610,1.23607439999999990654089288000250,,,True,True,0,0,169,169,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,,1.23343989999943226543166474584723
sepsis,0.03626330000042789908354379235789,0.67133319999999996330330986893387,,,True,True,0,0,1257,1257,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,,0.63506989999957208503644778829766
type1diabetes,0.00169520000054030001504501434795,0.61999619999999999730988520241226,,,True,True,0,0,67,67,baseline-100-25,100,25,1.00000000000000000000000000000000,eom,,0.61830099999945964395209330177750
circles,0.00818319999962109981272995185009,0.00599889999999999971869169002048,,,True,True,0,0,500,500,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00218429999962110009403826182961
